Time,Total Energy
12/11/2019 15:46:45,363.30
12/11/2019 15:50:01,363.30
12/11/2019 15:56:34,363.40
12/11/2019 15:59:52,363.40
12/11/2019 16:03:08,363.40
12/11/2019 16:06:26,363.40
12/11/2019 16:09:43,363.40
12/11/2019 16:12:59,363.40
12/11/2019 16:16:33,363.40
12/11/2019 16:20:05,363.40
12/11/2019 16:23:33,363.40
12/11/2019 16:26:57,363.40
12/11/2019 16:30:26,363.40
12/11/2019 16:37:24,363.50
12/11/2019 16:40:52,363.50
12/11/2019 16:44:30,363.50
12/11/2019 16:47:58,363.50
12/11/2019 16:51:22,363.50
12/11/2019 16:54:49,363.50
12/11/2019 16:58:14,363.50
12/11/2019 17:01:48,363.50
12/11/2019 17:05:20,363.50
12/11/2019 17:08:46,363.50
12/11/2019 17:12:07,363.50
12/11/2019 17:15:31,363.50
12/11/2019 17:18:58,363.50
12/11/2019 17:22:17,363.50
12/11/2019 17:25:38,363.50
12/11/2019 17:29:02,363.50
12/11/2019 17:32:23,363.50
12/11/2019 17:35:43,363.50
12/11/2019 17:39:12,363.50
12/11/2019 17:42:33,363.50
12/11/2019 17:45:53,363.50
12/11/2019 17:49:14,363.50
12/11/2019 17:52:36,363.50
12/11/2019 17:55:55,363.50
12/11/2019 18:02:31,363.60
12/11/2019 18:05:47,363.60
12/11/2019 18:09:02,363.60
12/11/2019 18:12:24,363.60
12/11/2019 18:15:40,363.60
12/11/2019 18:18:56,363.60
12/11/2019 18:22:12,363.60
12/11/2019 18:25:27,363.60
12/11/2019 18:28:43,363.60
12/11/2019 18:31:57,363.60
12/11/2019 18:35:13,363.60
12/11/2019 18:38:28,363.60
12/11/2019 18:41:44,363.60
12/11/2019 18:44:59,363.60
12/11/2019 18:48:15,363.60
12/11/2019 18:51:30,363.60
12/11/2019 18:54:47,363.60
12/11/2019 18:58:03,363.60
12/11/2019 19:06:08,363.60
,
Time,Total Energy
12/11/2019 5:45:13,368.80
12/11/2019 5:48:28,368.80
12/11/2019 5:51:44,368.80
12/11/2019 5:54:58,368.80
12/11/2019 5:58:14,368.80
12/11/2019 6:01:30,368.80
12/11/2019 6:04:45,368.80
12/11/2019 6:08:01,368.80
12/11/2019 6:11:15,368.80
12/11/2019 6:14:31,368.80
12/11/2019 6:17:46,368.80
12/11/2019 6:21:36,368.80
12/11/2019 6:24:52,368.80
12/11/2019 6:28:08,368.80
12/11/2019 6:31:24,368.80
12/11/2019 6:34:39,368.80
12/11/2019 6:37:55,368.80
12/11/2019 6:41:16,368.80
12/11/2019 6:44:32,368.80
12/11/2019 6:47:48,368.80
12/11/2019 6:51:04,368.80
12/11/2019 6:54:20,368.80
12/11/2019 6:57:35,368.80
12/11/2019 7:00:52,368.80
12/11/2019 7:04:06,368.80
12/11/2019 7:07:23,368.80
12/11/2019 7:10:39,368.80
12/11/2019 7:13:58,368.80
12/11/2019 7:17:14,368.80
12/11/2019 7:20:29,368.80
12/11/2019 7:26:59,368.90
12/11/2019 7:30:15,368.90
12/11/2019 7:33:32,368.90
12/11/2019 7:36:48,368.90
12/11/2019 7:40:03,368.90
12/11/2019 7:43:18,368.90
12/11/2019 7:46:34,368.90
12/11/2019 7:49:49,368.90
12/11/2019 7:53:05,368.90
12/11/2019 7:56:20,368.90
12/11/2019 7:59:35,368.90
12/11/2019 8:02:51,368.90
12/11/2019 8:06:06,368.90
12/11/2019 8:09:23,368.90
12/11/2019 8:12:39,368.90
12/11/2019 8:15:54,368.90
12/11/2019 8:19:12,368.90
12/11/2019 8:25:46,369.00
12/11/2019 8:29:02,369.00
12/11/2019 8:32:18,369.00
12/11/2019 8:35:35,369.00
12/11/2019 8:38:51,369.00
12/11/2019 8:42:06,369.00
12/11/2019 8:45:22,369.00
12/11/2019 8:48:39,369.00
12/11/2019 8:51:54,369.00
12/11/2019 8:55:09,369.00
12/11/2019 8:58:24,369.00
12/11/2019 9:04:55,369.10
12/11/2019 9:08:11,369.10
12/11/2019 9:11:27,369.10
12/11/2019 9:14:41,369.10
12/11/2019 9:17:57,369.10
12/11/2019 9:21:12,369.10
12/11/2019 9:24:29,369.10
12/11/2019 9:27:44,369.10
12/11/2019 9:34:15,369.20
12/11/2019 9:37:32,369.20
12/11/2019 9:40:49,369.20
12/11/2019 9:44:04,369.20
12/11/2019 9:47:22,369.20
12/11/2019 9:50:37,369.20
12/11/2019 9:53:54,369.20
12/11/2019 10:00:26,369.30
12/11/2019 10:03:42,369.30
12/11/2019 10:06:57,369.30
12/11/2019 10:10:18,369.30
