"Min	glo_avg"
"1164	491.5"
"1167	478.9"
"1170	467.4"
"1173	455.8"
"1176	443.1"
"1179	431.9"
"1182	422"
"1185	407.7"
"1188	395.8"
"1191	382.2"
"1194	370.9"
"1197	355.8"
"1200	343.3"
"1203	330.3"
"1206	318.8"
"1209	306.8"
"1212	294"
"1215	280.7"
"1218	271.5"
"1221	258.6"
"1224	245.2"
"1227	231.3"
"1230	220.2"
"1233	209.7"
"1236	198"
"1239	184"
"1242	177"
"1245	164.6"
"1248	151.4"
"1251	138.4"
"1254	124.2"
"1257	59.35"
"1260	31.72"
"1263	28.89"
"1266	25.86"
"1269	24.13"
"1272	22.33"
"1275	19.56"
"1278	17.07"
"1281	15"
"1284	11.11"
"1287	8.14"
"1290	5.844"
"1293	3.859"
"1296	2.074"
"1299	0.237"
"1302	-0.724"
"1305	-2.44"
"1308	-4.033"
"1311	-6.18"
"1314	-7.263"
"1317	-8.34"
"1320	-8.96"
"1323	-9.23"
"1326	-9.18"
"1329	-9.44"
"1332	-9.39"
"1335	-9.77"
"1338	-9.98"
"1341	-9.87"
"1344	-10.13"
"1347	-10.18"
"1350	-10.19"
"1353	-10.36"
"1356	-10.04"
"1359	-10.24"
"1362	-9.93"
"1365	-10.14"
"1368	-9.97"
"1371	-10.11"
"1374	-10.11"
"1377	-10.32"
"1380	-10.29"
"1383	-10.19"
"1386	-10.28"
"1389	-10.19"
"1392	-9.82"
"1395	-10.03"
"1398	-10.04"
"1401	-10.36"
"1404	-10.4"
"1407	-10.69"
"1410	-10.69"
"1413	-10.8"
"1416	-10.79"
"1419	-10.53"
"1422	-10.66"
"1425	-10.74"
"1428	-10.56"
"1431	-10.24"
"1434	-10.62"
"1437	-10.58"
